,tweet,label
0,cdc currently reports 99031 deaths general discrepancies death counts different sources small explicable death toll stands roughly 100000 people today,real
1,states reported 1121 deaths small rise last tuesday southern states reported 640 deaths,real
2,politically correct woman almost uses pandemic excuse reuse plastic bag coronavirus nashville,fake
3,indiafightscorona 1524 covid testing laboratories india 25th august 2020 36827520 tests done profbhargava dg icmrdelhi staysafe indiawillwin,real
4,populous states generate large case counts look new cases per million today 9 smaller states showing cases per million california texas al ar id ks ky la ms nv sc,real
5,covid act found average person illinois covid 19 infecting 1 11 people data shows infection growth rate declined time factors stay home order restrictions put place,real
6,tested positive covid19 symptoms stay home away people learn cdc recommendations around others covid 19 infection,real
7,obama calls trump coronavirus response chaotic disaster,fake
8,clearly obama administration leave kind game plan something like,fake
9,retraction hydroxychloroquine chloroquine without macrolide treatment covid 19 multinational registry analysis lancet,fake
10,take simple daily precautions help prevent spread respiratory illnesses like covid19 learn protect coronavirus covid 19,real
11,nba poised restart month march reported utah jazz got 58 coronavirus tests matter hours time u testing sluggish,fake
12,announced first participants age cohort dosed phase 2 study mrna vaccine mrna 1273 novel coronavirus read mrna,real
13,coronavirusupdates indiafightscorona 6 lakh tests done 3rd successive day cumulative testing date reached 22149351 covid19 tests per million tpm cross 16000,real
14,protect others covid19 using public transportation practice social distancing avoid touching surfaces practice hand hygiene learn,real
15,18 august 2020 8am till total 4687 covid19 positive cases andamp 17 covid 19 related deaths manipur covid 19 covid 19 covid19india covidupdates coronaupdates corona coronavirus coronavirusindia coronavirusupdates coronaviruspandemic,real
16,donald trump negligence incompetence 110 000 people died nearly 2 million cases covid 19 20 million americans work yet patting back unbelievable,fake
17,indiafightscorona india continues scale new peaks covid19 tests 11 70 lakh samples tested daily 2 consecutive days country achieved levels high daily testing pmoindia drharshvardhan ashwinikchoubey pib india ddnewslive,real
18,announced shipped vials mrna 1273 company vaccine novel coronavirus nih used planned phase 1 study u,real
19,multiple facebook posts claim aussies fined found talking conspiracies covid 19 posts included screenshot segment australian breakfast television show evidence claim,fake
20,nobel prize laureate tasuku honjo say coronavirus natural post facebook claims fact professor honjo said greatly saddened name used spread misinformation latest coronacheck,fake
21,nz covid tracker app remain important useful alert level 1 people encouraged download app similar one keep record going,real
22,breaking news president cryill ramaphosa asked foreign nations depart south africa 21 june 2020 due increasing cases covid 19,fake
23,delighted 78 high upper middle countries economies confirmed participate covax facility number growing urge yet joined 18th september drtedros covid19,real
24,intriguing possibility mood changes anxiety may function invasion coronavirus cns brain,real
25,elon musck new baby get job kid christmas covid19 elonmusk achristmascarol,fake
26,new alcohol free sanitizer developed dedan kimathi university kenya,fake
27,appendix b gathering state orders testing huge chunk work goes appendix evaluation accessibility cdc data tracker,real
28,yesterday laboratories completed 2899 tests 726 testing people managed isolation quarantine routine testing either days 3 12 stay brings total number tests completed date 436233,real
29,reusing n95 masks nih found vaporized hydrogen peroxide uv light heat effective sanitizers coronavirus,real
30,realdonaldtrump shifted focus different moments coronavirusoutbreak updated running timeline response virus reply us recent trump moments think belong running list,fake
31,doctored image president donald trump shared claiming asked people chant hare krishna hare rama,fake
32,fourthofjuly weekend choose spend time outdoors event gathering stay 6 ft apart andamp wear cloth face cover slow spread covid19 learn,real
33,cdc recommends mothers stop breastfeeding boost vaccine efficacy,fake
34,singapore airlines haults flights due coronavirus outbreak,fake
35,florida governor ron desantis botches covid 19 response banning corona beer order flatten pandemic curve,fake
36,apologise government ekiti state error remain committed improving quality control processes ensure accurate transparent reporting cases,real
37,nyt invented video doctor fighting coronavirus hospital,fake
38,may break 30k cases day today south alone reported 32830,real
39,alert americans coronavirus symptoms asked cough directly onto president trump,fake
40,launched covid19 solidarity response fund far mobilized 225 563000 individuals companies andamp philanthropies addition mobilized 1 billion member states andamp generous support countries drtedros,real
41,football player cristiano ronaldo turned hotels hospitals help coronavirus patients paying doctors staff,fake
42,including testing asymptomatic workers involved managed isolation quarantine airport border staff part wider surveillance measures expected operational early july,real
43,want national lockdown coronavirus continues progress uk pm says govt take measures insists want second national lockdown read,real
44,daily update published states reported 586k tests 28k cases 224 deaths,real
45,indiafightscorona new recoveries india exceeded new cases 5 consecutive days covid19,real
46,top 5 states high active caseload also ones presently reporting high level recoveries,real
47,currently 4927 people managed isolation quarantine current effective capacity 7126 gives us excess capacity 2199 next week projecting 3590 arrivals 2699 departures facilities,real
48,schools struggling cope lack covid19 tests new infections increasing since became compulsory pupils return get child tested virus explainer,real
49,scientists astrazeneca complain work coronavirus vaccine keeps delayed noddy holder ringing ask ready christmas,fake
50,masks help prevent spread covid19 widely used public wear mask help protect around others wear one help protect people around incl wearamask doyourpart worldmaskweek,real
51,132 new cases covid19nigeria lagos 52 gombe 27 plateau 17 kwara 10 enugu 9 ogun 9 katsina 3 ekiti 2 bauchi 1 osun 1 rivers 1 56388 confirmed 44337 discharged 1083 deaths,real
52,already coronavirus simple test,fake
53,rt mohfw india indiafightscorona high number sustained recoveries india surges ahead highest single day recovery nearl,real
54,italy surrendered coronavirus pandemic measures control covid 19 exhausted,fake
55,president trump forced wear protective medical mask donaldtrump coronavirus cia fbi iud,fake
56,rt ellencutch coronavirus misinformation moving offline reddit user posted flyer site told us delive,fake
57,orwell dead living bridge continued government toiletpaper georgeorwell coronavirus,fake
58,residents york asked think new government rule allows people england may covid19 fined 10000 fail self isolate read click,real
59,central government given permission schools open,fake
60,today total 1339 icmrdelhi approved labs covid19 testing consist 911 govt andamp 428 pvt labs covidtesting covid 19 covid covid 19 covid 19 covid19india covidupdates coronavirus coronaupdates coronavirusindia,real
61,government come pressure lack availability covid19 tests read,real
62,fewer kids dying since lockdown new white paper examines,fake
63,15 million cases covid19 reported almost 620000 deaths although countries affected continue see intense transmission relatively small group countries drtedros,real
64,justin trudeau resigns amidst coronavirus pandemic,fake
65,george soros one people responsible new coronavirus born laboratory,fake
66,johnkin17583856 sensitivity test definitely something specialists talking seen real number also looked hard things alexismadrigal,real
67,experts call claims cow dung urine yoga ayush prevent treat covid 19,fake
68,main mode transmission novel coronavirus droplets possible infected smokers may blow droplets carrying virus exhale regardless covid19 steer clear second hand smoke may cause various health problems,real
69,article claiming bill gates vaccine would modify human dna,fake
70,rt surgeon general dyk handwashing remains one best ways prevent spread viruses like covid19 5 things,real
71,according state health department haryana covid19 recoveryrate gurugram 86 7 covid19 covid 19 covid 19 coronaupdates coronavirusindia coronavirusupdates coronavirus covidupdates,real
72,daily update published sundays mondays tend see numbers dip see today still 62k cases rising hospitalizations large jump deaths last sunday holiday numbers 7 day average back 700,real
73,total number confirmed cases covid 19 1431 number report world health organization,real
